date,invoice_id,description,amount
2026-07-28,INV-1041,Replaced failed Carrier compressor 25HCB6 unit under warranty - model 25HCB636A003,1850.00
2026-07-25,INV-1038,Tune-up maintenance plan visit spring special,129.00
2026-07-22,INV-1035,Swapped bad Rheem condenser fan motor 51-102500-06 burnt windings,420.00
2026-07-15,INV-1029,Replaced Trane evaporator coil leaking refrigerant model 4TXCB003DS3,1240.00
2026-07-10,INV-1024,Estimate for new system full install quote,0.00
2026-06-30,INV-1015,Replaced defective control board Goodman PCBBF132S furnace,510.00
2026-06-24,INV-1010,Bradford White water heater replaced under warranty leaking tank RG240T6N,1380.00
2026-06-12,INV-1002,Capacitor replacement 45/5 MFD turbo,185.00
2026-05-20,INV-0989,Replaced shorted Lennox blower motor ECM 60L21 failed,640.00
2026-05-05,INV-0975,Diagnostic only - customer declined repair,89.00
